                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3881,                 2.7837,                 1.4911,                0.48135,                0.35903,                0.37199,                 0.1649,                 1.8642,                 2.2216,                 1.8242,             0.00023654,             0.00023654,             0.00023654
                      2,                 1.2922,                 1.8239,                 1.4417,                0.60949,                0.42359,                0.46859,                0.19121,                 2.0013,                 2.0201,                 1.9924,             0.00047062,             0.00047062,             0.00047062
                      3,                  1.243,                  1.655,                 1.4083,                0.62562,                 0.4586,                0.48999,                 0.2285,                 1.8401,                 1.8914,                 1.8215,             0.00070078,             0.00070078,             0.00070078
                      4,                   1.23,                 1.5924,                 1.3874,                0.53727,                0.49236,                0.49136,                0.22432,                 1.8623,                 1.9362,                 1.8788,             0.00069633,             0.00069633,             0.00069633
                      5,                 1.2047,                  1.496,                 1.3601,                0.69012,                0.50551,                0.55652,                0.24922,                 1.8656,                 1.6681,                 1.8715,             0.00069044,             0.00069044,             0.00069044
                      6,                 1.1883,                 1.4432,                 1.3483,                0.66236,                0.50794,                0.54379,                0.25342,                 1.7989,                 1.6058,                 1.7958,             0.00068455,             0.00068455,             0.00068455
                      7,                 1.1556,                 1.3767,                 1.3248,                 0.6964,                0.52327,                0.57087,                 0.2659,                 1.8406,                 1.6553,                 1.8272,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.1386,                 1.3232,                 1.3143,                0.72348,                 0.5283,                0.59201,                0.25732,                 1.9773,                 1.5534,                 1.9052,             0.00067277,             0.00067277,             0.00067277
                      9,                 1.1367,                 1.2882,                  1.303,                0.70163,                0.55036,                0.59529,                0.28424,                 1.8565,                 1.4776,                 1.8217,             0.00066688,             0.00066688,             0.00066688
                     10,                 1.1246,                 1.2577,                  1.297,                0.71235,                0.53224,                0.59638,                0.29458,                 1.7331,                 1.5252,                 1.7325,             0.00066099,             0.00066099,             0.00066099
                     11,                 1.1012,                 1.2321,                 1.2841,                0.75534,                0.53058,                0.59857,                 0.2912,                 1.8045,                 1.6095,                 1.7742,             0.00065509,             0.00065509,             0.00065509
                     12,                 1.0984,                 1.2119,                 1.2756,                0.72168,                0.56586,                 0.6126,                0.31224,                  1.726,                 1.4178,                 1.7508,              0.0006492,              0.0006492,              0.0006492
                     13,                 1.0926,                 1.1646,                 1.2701,                0.79957,                0.57745,                0.65216,                0.31854,                 1.7945,                 1.3482,                 1.8209,             0.00064331,             0.00064331,             0.00064331
                     14,                 1.0894,                  1.166,                 1.2667,                0.75927,                0.58123,                0.63958,                0.32738,                 1.6844,                 1.3168,                 1.6677,             0.00063742,             0.00063742,             0.00063742
                     15,                 1.0733,                 1.1328,                 1.2569,                0.76915,                0.60473,                0.65641,                0.32135,                 1.7658,                 1.2925,                 1.7409,             0.00063153,             0.00063153,             0.00063153
                     16,                  1.062,                 1.1203,                 1.2494,                0.74738,                0.61912,                0.65053,                 0.3247,                 1.7667,                 1.2761,                 1.7309,             0.00062564,             0.00062564,             0.00062564
                     17,                 1.0615,                  1.099,                 1.2463,                0.83565,                0.53881,                0.63809,                0.32699,                 1.6987,                 1.3338,                 1.6922,             0.00061975,             0.00061975,             0.00061975
                     18,                 1.0483,                 1.0813,                 1.2438,                0.78357,                0.59701,                0.66893,                0.32681,                 1.7429,                 1.2682,                 1.7645,             0.00061386,             0.00061386,             0.00061386
                     19,                 1.0496,                 1.0684,                 1.2351,                0.78038,                0.62908,                0.67737,                0.34424,                  1.712,                 1.2487,                 1.7173,             0.00060797,             0.00060797,             0.00060797
                     20,                 1.0378,                 1.0483,                 1.2318,                0.77694,                0.60994,                0.66238,                0.30678,                 1.8546,                 1.3124,                 1.8352,             0.00060208,             0.00060208,             0.00060208
                     21,                 1.0314,                 1.0438,                  1.221,                0.78242,                0.59886,                0.67091,                0.34779,                 1.6191,                 1.2436,                 1.6395,             0.00059619,             0.00059619,             0.00059619
                     22,                 1.0244,                 1.0193,                 1.2199,                0.82897,                0.63317,                0.70712,                0.36949,                 1.6572,                  1.181,                 1.6639,              0.0005903,              0.0005903,              0.0005903
                     23,                 1.0243,                  1.001,                 1.2176,                  0.764,                 0.6384,                0.69888,                0.34968,                 1.6409,                 1.1856,                 1.6385,             0.00058441,             0.00058441,             0.00058441
                     24,                 1.0081,                 1.0032,                 1.2136,                0.79787,                0.56257,                0.64571,                0.34778,                 1.6772,                 1.3386,                 1.6604,             0.00057852,             0.00057852,             0.00057852
                     25,                 1.0043,                0.99066,                 1.2079,                0.78078,                0.63464,                0.68512,                0.37416,                 1.5739,                 1.1401,                 1.6187,             0.00057263,             0.00057263,             0.00057263
                     26,                 0.9938,                0.96948,                  1.204,                0.79037,                0.61716,                0.68649,                0.35961,                 1.6417,                 1.1694,                 1.6413,             0.00056674,             0.00056674,             0.00056674
                     27,                 1.0023,                0.96391,                 1.2033,                0.80677,                0.63595,                0.70123,                0.37182,                 1.7006,                 1.1458,                 1.7178,             0.00056085,             0.00056085,             0.00056085
                     28,                 1.0005,                0.96294,                 1.1977,                0.81909,                0.62074,                0.69308,                0.38181,                 1.5813,                 1.1315,                 1.6543,             0.00055496,             0.00055496,             0.00055496
                     29,                0.99355,                 0.9544,                 1.1971,                0.81857,                0.64025,                0.70538,                0.39109,                 1.5793,                  1.095,                 1.5945,             0.00054907,             0.00054907,             0.00054907
                     30,                0.98196,                0.93812,                 1.1909,                0.84083,                0.61234,                0.68931,                0.34873,                 1.7159,                 1.1423,                 1.7521,             0.00054318,             0.00054318,             0.00054318
                     31,                0.97058,                0.92331,                 1.1875,                0.82062,                0.61308,                0.69395,                0.39328,                 1.5669,                   1.11,                 1.5724,             0.00053728,             0.00053728,             0.00053728
                     32,                0.97306,                0.90758,                 1.1817,                0.81882,                0.64445,                0.71798,                0.40069,                 1.5685,                 1.0595,                 1.5942,             0.00053139,             0.00053139,             0.00053139
